"Título da Palestra	";Palestrante
Parcerias Estratégicas entre a CAPES, o Ministério da Defesa e pesquisas na área;Prof. Dra. Denise Pires de Carvalho
Palestra do Comando Militar da Amazônia;
Operação Acolhida;Gen Div Helder de Freitas Braga
Agências Internacionais e a resposta humanitária;
A situação atual da migração e do refúgio na fronteira norte;Prof. Dr. João Jarochinski - UFRR
Geopolítica, segurança e defesa da fronteira norte da Amazônia;Prof. Dr. Cléber Batalha Franklin - UFRR
Os tensionamentos geopolíticos no Planalto das Guianas;Prof. Dr. Erick Linhares – UFRR - UERR
Operações integradas de segurança e defesa na Amazônia;Prof. Dr. Oscar Filho - ESD
Defesa e Saúde;Representante da Marinha do Brasil
Defesa e Saúde;Representante da Força Aérea Brasileira
Defesa e Saúde;Representante do Exército Brasileiro
Combate ao crime ambiental na fronteira norte;Prof. Dr. Serguei Camargo - UERR
Temas socioambientais, desenvolvimento, segurança e defesa;Censipam
